City,geography,Ethnic group (20 categories) Code,Ethnic group (20 categories),Proxy_Flag,Proxy_Source,Observation,Source_Area_Count,Source_Areas
Southampton,South East,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,2173,1,Southampton
Southampton,South East,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,2157,1,Southampton
Southampton,South East,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,169481,1,Southampton
Southampton,South East,14,White: Irish,False,direct_or_alias,1643,1,Southampton
Southampton,South East,15,White: Gypsy or Irish Traveller,False,direct_or_alias,340,1,Southampton
Southampton,South East,16,White: Roma,False,direct_or_alias,578,1,Southampton
Southampton,South East,17,White: Other White,False,direct_or_alias,28787,1,Southampton
Southampton,South East,18,Other ethnic group: Arab,False,direct_or_alias,1311,1,Southampton
Southampton,South East,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,4518,1,Southampton
Southend-on-Sea,East,-8,Does not apply,False,direct_or_alias,0,1,Southend-on-Sea
Southend-on-Sea,East,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,1615,1,Southend-on-Sea
Southend-on-Sea,East,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,1170,1,Southend-on-Sea
Southend-on-Sea,East,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,2828,1,Southend-on-Sea
Southend-on-Sea,East,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,1765,1,Southend-on-Sea
Southend-on-Sea,East,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,2486,1,Southend-on-Sea
Southend-on-Sea,East,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,3590,1,Southend-on-Sea
Southend-on-Sea,East,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,839,1,Southend-on-Sea
Southend-on-Sea,East,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,724,1,Southend-on-Sea
Southend-on-Sea,East,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,1527,1,Southend-on-Sea
Southend-on-Sea,East,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,1045,1,Southend-on-Sea
Southend-on-Sea,East,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,1580,1,Southend-on-Sea
Southend-on-Sea,East,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,1401,1,Southend-on-Sea
Southend-on-Sea,East,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,147442,1,Southend-on-Sea
Southend-on-Sea,East,14,White: Irish,False,direct_or_alias,1569,1,Southend-on-Sea
Southend-on-Sea,East,15,White: Gypsy or Irish Traveller,False,direct_or_alias,106,1,Southend-on-Sea
Southend-on-Sea,East,16,White: Roma,False,direct_or_alias,241,1,Southend-on-Sea
Southend-on-Sea,East,17,White: Other White,False,direct_or_alias,8721,1,Southend-on-Sea
Southend-on-Sea,East,18,Other ethnic group: Arab,False,direct_or_alias,402,1,Southend-on-Sea
Southend-on-Sea,East,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,1634,1,Southend-on-Sea
St Albans,East,-8,Does not apply,False,direct_or_alias,0,1,St Albans
St Albans,East,1,"Asian, Asian British or Asian Welsh: Bangladeshi",False,direct_or_alias,3107,1,St Albans
St Albans,East,2,"Asian, Asian British or Asian Welsh: Chinese",False,direct_or_alias,1625,1,St Albans
St Albans,East,3,"Asian, Asian British or Asian Welsh: Indian",False,direct_or_alias,3856,1,St Albans
St Albans,East,4,"Asian, Asian British or Asian Welsh: Pakistani",False,direct_or_alias,1619,1,St Albans
St Albans,East,5,"Asian, Asian British or Asian Welsh: Other Asian",False,direct_or_alias,1969,1,St Albans
St Albans,East,6,"Black, Black British, Black Welsh, Caribbean or African: African",False,direct_or_alias,1821,1,St Albans
St Albans,East,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",False,direct_or_alias,905,1,St Albans
St Albans,East,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",False,direct_or_alias,433,1,St Albans
St Albans,East,9,Mixed or Multiple ethnic groups: White and Asian,False,direct_or_alias,2556,1,St Albans
St Albans,East,10,Mixed or Multiple ethnic groups: White and Black African,False,direct_or_alias,650,1,St Albans
St Albans,East,11,Mixed or Multiple ethnic groups: White and Black Caribbean,False,direct_or_alias,1306,1,St Albans
St Albans,East,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,False,direct_or_alias,1842,1,St Albans
St Albans,East,13,"White: English, Welsh, Scottish, Northern Irish or British",False,direct_or_alias,108962,1,St Albans
St Albans,East,14,White: Irish,False,direct_or_alias,2976,1,St Albans
St Albans,East,15,White: Gypsy or Irish Traveller,False,direct_or_alias,142,1,St Albans
St Albans,East,16,White: Roma,False,direct_or_alias,149,1,St Albans
St Albans,East,17,White: Other White,False,direct_or_alias,11636,1,St Albans
St Albans,East,18,Other ethnic group: Arab,False,direct_or_alias,880,1,St Albans
St Albans,East,19,Other ethnic group: Any other ethnic group,False,direct_or_alias,1735,1,St Albans
St Asaph,Wales,-8,Does not apply,True,area_to_city,0,1,Denbighshire
St Asaph,Wales,1,"Asian, Asian British or Asian Welsh: Bangladeshi",True,area_to_city,115,1,Denbighshire
St Asaph,Wales,2,"Asian, Asian British or Asian Welsh: Chinese",True,area_to_city,337,1,Denbighshire
St Asaph,Wales,3,"Asian, Asian British or Asian Welsh: Indian",True,area_to_city,332,1,Denbighshire
St Asaph,Wales,4,"Asian, Asian British or Asian Welsh: Pakistani",True,area_to_city,166,1,Denbighshire
St Asaph,Wales,5,"Asian, Asian British or Asian Welsh: Other Asian",True,area_to_city,700,1,Denbighshire
St Asaph,Wales,6,"Black, Black British, Black Welsh, Caribbean or African: African",True,area_to_city,179,1,Denbighshire
