ons_geography,ons_geography_code,lookup_parent_geography,nomis_geography,mapped,mapping_type,mapping_source
Ipswich,E07000202,Suffolk,Suffolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Isle of Anglesey,W06000001,,Anglesey,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Isle of Wight,E06000046,,Isle of Wight,True,direct_name_match,dataset_name_overlap
Isles of Scilly,E06000053,,Cornwall and Isles of Scilly,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Islington,E09000019,,Islington,True,direct_name_match,dataset_name_overlap
Kensington and Chelsea,E09000020,,Kensington and Chelsea,True,direct_name_match,dataset_name_overlap
King's Lynn and West Norfolk,E07000146,Norfolk,Norfolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
"Kingston upon Hull, City of",E06000010,,Kingston upon Hull,True,direct_name_match,dataset_name_overlap
Kingston upon Thames,E09000021,,Kingston-upon-Thames,True,direct_name_match,dataset_name_overlap
Kirklees,E08000034,,Kirklees,True,direct_name_match,dataset_name_overlap
Knowsley,E08000011,,Knowsley,True,direct_name_match,dataset_name_overlap
Lambeth,E09000022,,Lambeth,True,direct_name_match,dataset_name_overlap
Lancaster,E07000121,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Leeds,E08000035,,Leeds,True,direct_name_match,dataset_name_overlap
Leicester,E06000016,,Leicester City,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Lewes,E07000063,East Sussex,East Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Lewisham,E09000023,,Lewisham,True,direct_name_match,dataset_name_overlap
Lichfield,E07000194,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Lincoln,E07000138,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Liverpool,E08000012,,Liverpool,True,direct_name_match,dataset_name_overlap
Luton,E06000032,,Luton,True,direct_name_match,dataset_name_overlap
Maidstone,E07000110,Kent,Kent,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Maldon,E07000074,Essex,Essex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Malvern Hills,E07000235,Worcestershire,Worcestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Manchester,E08000003,,Manchester,True,direct_name_match,dataset_name_overlap
Mansfield,E07000174,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Medway,E06000035,,Medway,True,direct_name_match,dataset_name_overlap
Melton,E07000133,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Mendip,E07000187,Somerset,Somerset,True,official_lookup_parent_match,manual_successor_override
Merthyr Tydfil,W06000024,,Merthyr Tydfil,True,direct_name_match,dataset_name_overlap
Merton,E09000024,,Merton,True,direct_name_match,dataset_name_overlap
Mid Devon,E07000042,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Mid Suffolk,E07000203,Suffolk,Suffolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Mid Sussex,E07000228,West Sussex,West Sussex,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Middlesbrough,E06000002,,Middlesbrough,True,direct_name_match,dataset_name_overlap
Milton Keynes,E06000042,,Milton Keynes,True,direct_name_match,dataset_name_overlap
Mole Valley,E07000210,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Monmouthshire,W06000021,,Monmouthshire,True,direct_name_match,dataset_name_overlap
Neath Port Talbot,W06000012,,Neath Port Talbot,True,direct_name_match,dataset_name_overlap
New Forest,E07000091,Hampshire,Hampshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Newark and Sherwood,E07000175,Nottinghamshire,Nottinghamshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Newcastle upon Tyne,E08000021,,Newcastle-upon-Tyne,True,direct_name_match,dataset_name_overlap
Newcastle-under-Lyme,E07000195,Staffordshire,Staffordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Newham,E09000025,,Newham,True,direct_name_match,dataset_name_overlap
Newport,W06000022,,Newport,True,direct_name_match,dataset_name_overlap
North Devon,E07000043,Devon,Devon,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North East Derbyshire,E07000038,Derbyshire,Derbyshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North East Lincolnshire,E06000012,,North East Lincolnshire,True,direct_name_match,dataset_name_overlap
North Hertfordshire,E07000099,Hertfordshire,Hertfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North Kesteven,E07000139,Lincolnshire,Lincolnshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North Lincolnshire,E06000013,,North Lincolnshire,True,direct_name_match,dataset_name_overlap
North Norfolk,E07000147,Norfolk,Norfolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North Northamptonshire,E06000061,,Northamptonshire,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North Somerset,E06000024,,North Somerset,True,direct_name_match,dataset_name_overlap
North Tyneside,E08000022,,North Tyneside,True,direct_name_match,dataset_name_overlap
North Warwickshire,E07000218,Warwickshire,Warwickshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
North West Leicestershire,E07000134,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Northumberland,E06000057,,Northumberland,True,direct_name_match,dataset_name_overlap
Norwich,E07000148,Norfolk,Norfolk,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Nottingham,E06000018,,Nottingham City,True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Nuneaton and Bedworth,E07000219,Warwickshire,Warwickshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Oadby and Wigston,E07000135,Leicestershire,Leicestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Oldham,E08000004,,Oldham,True,direct_name_match,dataset_name_overlap
Oxford,E07000178,Oxfordshire,Oxfordshire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Pembrokeshire,W06000009,,Pembrokeshire,True,direct_name_match,dataset_name_overlap
Pendle,E07000122,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Peterborough,E06000031,,Peterborough,True,direct_name_match,dataset_name_overlap
Plymouth,E06000026,,Plymouth,True,direct_name_match,dataset_name_overlap
Portsmouth,E06000044,,Portsmouth,True,direct_name_match,dataset_name_overlap
Powys,W06000023,,Powys,True,direct_name_match,dataset_name_overlap
Preston,E07000123,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Reading,E06000038,,Reading,True,direct_name_match,dataset_name_overlap
Redbridge,E09000026,,Redbridge,True,direct_name_match,dataset_name_overlap
Redcar and Cleveland,E06000003,,Redcar and Cleveland,True,direct_name_match,dataset_name_overlap
Redditch,E07000236,Worcestershire,Worcestershire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Reigate and Banstead,E07000211,Surrey,Surrey,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Rhondda Cynon Taf,W06000016,,"Rhondda, Cynon, Taff",True,manual_one_to_one,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
Ribble Valley,E07000124,Lancashire,Lancashire,True,official_lookup_parent_match,https://ckan.publishing.service.gov.uk/dataset/local-authority-district-to-county-and-unitary-authority-december-2024-lookup-in-ew
