nomis_dataset,DATE,DATE_NAME,SEX,SEX_NAME,PAY,PAY_NAME,ITEM,ITEM_NAME,MEASURES,MEASURES_NAME,GEOGRAPHY_NAME,OBS_VALUE,Source_Geography_Count,GEOGRAPHY_CODE,GEOGRAPHY
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Sunderland,460.0,1,E08000024,Sunderland
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Sunderland,4.6,1,E08000024,Sunderland
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Swansea,489.4,1,W06000011,Swansea
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Swansea,5.7,1,W06000011,Swansea
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Truro,440.5,1,E06000052,Truro
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Truro,3.1,1,E06000052,Truro
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Wakefield,461.0,1,E08000036,Wakefield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Wakefield,3.1,1,E08000036,Wakefield
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Wells,496.14,5,E07000187|E07000188|E07000189|E07000190|E07000191,Wells
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Wells,8.620000000000001,5,E07000187|E07000188|E07000189|E07000190|E07000191,Wells
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Westminster,766.5,1,E09000033,Westminster
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Westminster,6.3,1,E09000033,Westminster
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Winchester,639.3,1,E07000094,Winchester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Winchester,7.6,1,E07000094,Winchester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Wolverhampton,434.2,1,E08000031,Wolverhampton
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Wolverhampton,3.5,1,E08000031,Wolverhampton
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Worcester,528.1,1,E07000237,Worcester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Worcester,5.1,1,E07000237,Worcester
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Wrexham,488.1,1,W06000006,Wrexham
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Wrexham,3.9,1,W06000006,Wrexham
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,York,495.6,1,E06000014,York
NM_30_1,2015,2015,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,York,4.7,1,E06000014,York
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Aberdeen,557.4,1,S12000033,Aberdeen
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Aberdeen,4.4,1,S12000033,Aberdeen
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Bangor,445.3,1,W06000002,Bangor
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Bangor,8.1,1,W06000002,Bangor
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Bath,564.1,1,E06000022,Bath
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Bath,6.1,1,E06000022,Bath
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Birmingham,495.0,1,E08000025,Birmingham
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Birmingham,2.3,1,E08000025,Birmingham
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Bradford,471.6,1,E08000032,Bradford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Bradford,3.0,1,E08000032,Bradford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Brighton and Hove,561.2,1,E06000043,Brighton and Hove
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Brighton and Hove,4.3,1,E06000043,Brighton and Hove
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Bristol,524.0,1,E06000023,Bristol
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Bristol,2.9,1,E06000023,Bristol
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Cambridge,589.1,1,E07000008,Cambridge
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Cambridge,4.6,1,E07000008,Cambridge
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Canterbury,558.4,1,E07000106,Canterbury
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Canterbury,6.5,1,E07000106,Canterbury
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Cardiff,534.4,1,W06000015,Cardiff
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Cardiff,4.8,1,W06000015,Cardiff
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Carlisle,459.9,1,E07000028,Carlisle
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Carlisle,4.9,1,E07000028,Carlisle
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Chelmsford,607.2,1,E07000070,Chelmsford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Chelmsford,6.3,1,E07000070,Chelmsford
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Chester,548.1,1,E06000050,Chester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Chester,3.8,1,E06000050,Chester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Chichester,577.5,1,E07000225,Chichester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Chichester,8.3,1,E07000225,Chichester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Colchester,566.4,1,E07000071,Colchester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Colchester,5.2,1,E07000071,Colchester
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Coventry,531.8,1,E08000026,Coventry
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20701,Confidence,Coventry,3.7,1,E08000026,Coventry
NM_30_1,2016,2016,8,Full Time Workers,1,Weekly pay - gross,2,Median,20100,Value,Derby,551.6,1,E06000015,Derby
